,block_vtda,total,nh_black,weighted_blk_sl_dist
0,01001000001,795,284,28065.1749089479
1,01001000002,4857,652,189112.95734641413
2,01001000003,1008,67,34712.6512549087
3,01001000004,10255,2270,397691.1734087166
4,01001000005,1192,242,41125.76250290358
5,01001000006,1988,91,69837.60050613122
6,01001000007,4440,366,163291.39954901786
7,01001000008,860,341,31036.46678663784
8,01001000009,1705,345,64170.02021214602
9,01001000010,4766,474,184786.96874963588
10,01001000011,602,332,22200.281993537264
11,01001000012,1969,579,71079.13673454178
12,01001000013,2269,352,86790.96106084215
13,01001000014,1571,804,60345.75448135551
14,01001000015,2340,470,91109.99670628391
15,01001000016,12213,2733,476404.57018178666
16,01001000017,3213,714,124643.93785995567
17,01001000018,2762,236,104733.02486592864
18,01003000001,357,59,10393.771476457941
19,01003000002,251,137,7050.338273791951
20,01003000003,558,269,14926.742746166408
21,01003000004,1175,274,30273.226554269015
22,01003000005,1632,1146,42173.23302076382
23,01003000006,2002,244,51515.07071805243
24,01003000007,11405,1060,293644.2270939356
25,01003000008,2305,557,59469.572431863635
26,01003000009,2668,300,68947.09962116356
27,01003000010,3036,319,78059.82485861688
28,01003000011,533,12,14639.634784439942
29,01003000012,753,45,20041.341479154402
30,01003000013,1293,2,34725.45513025328
31,01003000014,1605,59,43016.629631006545
32,01003000015,9357,2028,242442.09773098514
33,01003000016,2400,372,62160.62632263981
34,01003000017,1921,209,49507.36276968793
35,01003000018,2835,58,73155.76668895241
36,01003000019,609,2,15929.692191122158
37,01003000020,13326,1277,342794.5767954807
38,01003000021,316,1,8290.297173236557
39,01003000022,3687,32,95863.98631668184
40,01003000023,6119,325,157553.29527755998
41,01003000024,6489,283,167686.65991114778
42,01003000025,7696,493,199385.62732024054
43,01003000026,2533,12,66106.76419662742
44,01003000027,1559,20,40798.90415087625
45,01003000028,6775,133,176773.89280203092
46,01003000029,1178,4,30781.342260392517
47,01003000030,4915,318,126807.18750780309
48,01003000031,5891,246,152726.30686051756
49,01003000032,4914,117,127944.27575735615
50,01003000033,4244,80,110306.3343456192
51,01003000034,1153,9,30119.329373523313
52,01003000035,13338,2052,342923.9225018646
53,01003000036,7841,737,202431.0858629568
54,01003000037,4208,141,108688.44068956774
55,01003000038,7512,968,194795.9776859761
56,01003000039,7343,109,189845.57621388097
57,01003000040,865,2,22264.80092776232
58,01003000041,8438,39,219754.3146210623
59,01003000042,10231,915,263075.2170685364
60,01003000043,5976,156,153849.4691169726
61,01003000044,5504,101,141646.69798445597
