,block_vtda,total,nh_black,weighted_blk_sl_dist
0,220010001-1,2118,95,57958.68530362353
1,220010001-2,1780,453,51251.29031171025
2,220010001-3,1719,320,49373.483923681546
3,220010001-4,1917,395,55341.39644564035
4,220010001-5,1155,370,33300.76673644993
5,220010001-6,1286,929,37006.5074993165
6,220010001-8,1360,329,37859.28574063418
7,220010001-9,1322,90,38064.579844569875
8,220010002-1,1687,96,45592.74866248709
9,220010002-2,1110,19,31338.897985286018
10,220010002-3,1661,178,46313.13692310436
11,220010002-5,973,19,26973.76516081256
12,220010003-1,1331,429,34717.64227095832
13,220010003-2,1416,67,38503.44467533841
14,220010003-3,2128,543,55707.457355115344
15,220010003-4,1303,563,33988.85963934575
16,220010003-5,1239,143,32424.983526750853
17,220010003-7,1766,220,46827.76358216358
18,220010004-1,1154,19,29364.046808564526
19,220010004-2,1304,68,35208.34293731595
20,220010004-4,2019,8,54466.629125124666
21,220010004-5,1402,13,35617.82678330653
22,220010004-6,1180,19,31831.435484965266
23,220010005-1,516,72,13603.214020499776
24,220010005-2,694,31,18968.8888397634
25,220010005-3,1194,12,32342.381794017332
26,220010005-4,599,5,16253.15905545577
27,220010005-5,360,4,9812.149962564814
28,220010006-1,1913,1391,53249.36799832771
29,220010006-2,926,82,26077.785693490347
30,220010006-3,945,345,26447.5862268246
31,220010006-4,1960,655,55069.94516068508
32,220010006-5,736,116,20559.97531120687
33,220010006-6,1108,954,30955.96122497926
34,220010006-7,2031,207,56908.20589934649
35,220010006-8,1839,293,51763.6794471491
36,220010007-2,965,50,24731.640271861357
37,220010007-3,1754,41,47179.08905623098
38,220010007-4,1196,57,32428.40701083075
39,22001006-10,473,15,13204.71444485242
40,22001006-12,1131,89,31839.5973812462
41,22001006-13,779,33,21855.769667031283
42,22001006-14,1253,30,35594.44593447676
43,22001006-15,372,15,10394.837462646145
44,22001006-16,482,57,13656.807522703371
45,220030001-1,600,147,16102.95736274177
46,220030001-2,318,55,8692.77717387608
47,220030001-3,428,68,11212.857680447334
48,220030001-4,322,263,8588.564548634697
49,220030001-5,212,66,5664.501591306052
50,220030001-6,835,163,22483.248234902974
51,220030002-1,725,105,17855.08736905122
52,220030002-2,992,42,23987.012062434216
53,220030002-3,733,36,17786.45633794566
54,220030002-5,179,110,4334.353763706645
55,220030002-6,621,41,15298.588079039695
56,220030003-1,550,8,13731.169783305515
57,220030003-2,1313,9,32374.292146401574
58,220030004-2,692,0,17460.543372574353
59,220030004-3,740,2,18824.266748256417
60,220030005-2,1029,16,26164.372317490717
61,220030005-3,926,113,25982.973769485467
62,220030005-5,350,5,9368.353033443615
63,220030005-7,1220,846,34657.24764485732
64,220030005-9,1269,355,35965.13928383791
65,22003005-10,906,19,25579.650045711944
66,22003005-12,147,69,4195.879187985109
67,22003005-13,1871,472,53477.01554176395
68,22003005-8A,145,42,4132.642825263735
69,2200302-2-A,689,189,16664.65385460138
70,2200302-4-C,1024,142,24804.995571315347
71,2200302-4-O,1896,347,46840.0020035921
72,2200305-4-C,1209,252,34019.20704752434
73,2200305-4-O,809,34,22657.518126149633
74,22005000001,2837,377,99727.55054015196
75,22005000002,2376,260,83280.54563815623
76,22005000003,2899,249,100856.63692137117
77,22005000004,2707,580,93368.09922795255
78,22005000005,2514,428,87091.4482505342
79,22005000006,2858,489,100135.24858252336
80,22005000007,2459,535,86504.90472759717
81,22005000008,3009,359,105419.99804935924
82,22005000009,3503,735,122179.33183947262
83,22005000010,2973,286,103390.88371855381
84,22005000011,4323,851,150209.74843070738
85,22005000012,2856,422,99085.58082252607
86,22005000013,3432,430,118170.03513982784
87,22005000014,1584,35,53987.126278811484
88,22005000015,1883,16,62483.76837950871
89,22005000016,2469,381,86370.1407574399
90,22005000017,3902,1158,135834.8815113913
91,22005000018,2908,361,100446.43050179911
92,22005000020,1929,348,67150.80028052445
93,22005000021,1053,92,36359.15357784365
94,22005000022,1081,13,36461.27228803684
95,22005000023,1052,205,36526.58878745864
96,22005000024,755,109,26129.672599322177
97,22005000025,2024,93,69323.0081346083
98,22005000026,2902,30,97258.98919618648
99,22005000027,2051,43,67837.27059532028
100,22005000028,1686,853,58519.01509054818
101,22005000030,1401,589,48378.698009483756
102,22005000031,1564,611,53403.54496802024
103,22005000032,2206,624,75154.55431940297
104,22005000033,2314,234,78277.10612062288
105,22005000034,1514,253,49680.6649773355
106,22005000035,1908,41,60155.058127207616
107,22005000036,2347,1120,81550.52148990775
108,22005000037,3488,2289,120750.79357774749
109,22005000039,391,193,13458.3487757029
110,22005000040,2270,957,76917.89459754228
111,22005000041,1458,22,49358.05966973232
112,22005000042,811,472,27709.78010728942
113,22005000043,1606,90,53956.50848921508
114,22005000044,1409,1049,48248.49321273566
115,22005000045,351,242,12235.012191232907
116,22005000047,1913,1667,65649.97534662891
117,22005000048,626,220,21490.787781392377
118,22005000050,1145,645,38612.88760050461
119,22005000051,1285,1138,43829.603268089595
120,22005000052,769,452,26305.92888539773
121,22005000053,873,335,30055.281731791023
122,22005000054,1203,751,41056.174711616724
123,22005000055,885,726,30124.522983263
124,22005000057,687,599,23363.67907230794
125,22005000058,2172,663,74982.85436619734
126,22005000061,2034,149,71002.39526240085
127,22005000062,1023,128,35808.37931955553
128,22005000063,1828,269,63943.8135316464
129,22005000064,1817,259,63783.376386660224
130,22005000065,1308,921,45075.554359824695
131,22005000066,2698,468,92097.80216794688
132,22005000071,3576,867,124733.9667088429
133,22005000072,1703,364,59380.44670566714
134,22005000073,721,63,25139.99589573477
135,22005000076,3118,444,107418.46057576725
136,22005000077,2109,310,73684.68283933353
137,22005000078,1944,334,67877.21751373704
138,220070001-1,665,585,22174.11792292015
139,220070001-2,1459,787,45106.8949983717
140,220070002-1,624,58,16989.10291087309
141,220070002-2,165,30,4294.306273440941
142,220070002-3,1075,268,28035.826342500346
143,220070002-4,410,35,10725.072877052258
144,220070002-5,217,33,5728.141546284357
145,220070003-1,577,56,15153.499424680736
146,220070003-2,1922,59,49829.96420817603
147,220070004-1,434,242,11379.674170205051
148,220070004-2,1176,767,31085.216770871742
149,220070004-3,523,240,13662.48713017387
150,220070005-1,540,428,15163.113301800424
151,220070005-2,1313,398,36477.464579374064
152,220070005-3,574,68,16703.935907895102
153,220070005-5,37,1,1110.2516539912199
154,220070006-1,1091,460,34164.11857276847
155,220070006-2,864,607,25473.4775832832
156,220070006-3,458,391,15063.666755951817
157,220070007-1,1448,429,48738.613033520756
158,220070007-2,337,17,11693.391730488649
159,220070007-3,391,7,13869.676034742184
160,220070008-1,2529,3,83890.34360471247
161,220070009-1,2210,4,68448.19674243689
162,220090001-1,1420,9,42541.34544459022
163,220090001-2,1387,4,42877.298203206825
164,220090001-3,752,9,21310.87627774547
165,220090002-1,1607,392,51550.3837028211
166,220090002-2,7,1,209.6694925508389
167,220090002-4,1826,886,55841.42615287817
168,220090002-5,774,92,25310.720063862114
169,220090002-7,669,486,21165.3460882631
170,220090002-8,730,510,23232.882113630432
171,220090003-1,1480,855,45601.90160735731
172,220090003-3,546,214,17056.826171914505
173,220090004-1,772,170,21857.99223972475
174,220090004-2,2072,168,57738.90421169441
175,220090005-1,1339,43,38398.730996179416
176,220090006-2,28,2,1112.677959877339
177,220090007-1,1658,897,67677.49118466565
178,220090007-3,735,108,29145.207043651317
179,220090008-1,221,2,7177.430111028568
180,220090008-3,583,11,19013.76076339544
181,220090009-2,215,60,5989.5334735352535
182,220090009-3,887,205,26433.33076486946
183,220090009-4,1179,185,35414.472521590375
184,220090010-2,1537,985,41506.439380165335
185,220090010-4,1187,926,32223.160303203927
186,220090011-1,984,369,32978.662944480035
187,22009002-2A,533,81,16239.769442003966
188,22009002-2B,520,231,15489.736635112913
189,22009002-2C,568,78,17908.009255709138
190,22009002-2D,65,30,1935.5488198399316
191,22009002-2F,419,61,12983.647481836382
192,22009002-3A,494,4,16973.9074553439
193,22009002-4A,1360,282,42625.56305404754
194,22009002-5B,41,12,1632.0725763818054
195,22009002-5E,2,0,80.12215078148152
196,22009003-1B,820,143,24339.709850519514
197,22009004-2A,841,51,23263.07796952366
198,22009005-1A,132,15,3850.7248613757743
199,22009006-1A,845,48,31379.614038755804
200,22009006-2A,400,3,16233.789565818224
201,22009007-3B,69,4,2625.0277392903513
202,22009008-2A,345,28,10388.371545919515
203,22009008-2B,439,20,14321.547085994793
204,22009008-3A,1238,26,40000.083306540066
205,22009009-1A,639,294,19975.622623071908
206,22009009-2A,424,106,11767.292480364693
207,22009009-4B,535,64,15504.681222358373
208,22009009-5B,2546,1187,76071.84667517418
209,22009010-2A,731,99,19684.4491480689
210,22009010-3A,695,161,18601.690295190707
211,22009011-2A,397,32,14026.205462219052
212,22011000001,621,8,15640.453769243748
213,22011000002,88,11,2223.675028322475
214,22011000003,425,2,10804.897759227082
215,22011000004,967,140,25049.43552656428
216,22011000005,1037,14,26987.55373893467
217,22011000006,629,17,16276.485941145573
218,22011000007,1370,99,34939.84077602913
219,22011000009,1028,9,26027.626739453262
220,22011000010,1684,450,41989.60768050144
221,22011000011,1242,7,30783.45510772942
222,22011000012,2427,34,58885.505672850886
223,22011000013,692,6,17324.931636862024
224,22011000014,785,6,19537.56323133405
225,22011000015,691,30,17515.704352336335
226,22011000016,1264,40,32094.56785716402
227,22011000017,1070,26,27144.24596876946
228,22011000018,362,9,9185.44745171389
229,22011000019,392,6,9961.57960965447
230,22011000020,1554,18,39303.57827791387
231,22011000021,730,4,18484.938529167222
232,22011000022,818,12,20590.016036954614
233,22011000025,2516,474,64077.05488319956
234,22011000026,1577,822,40067.153744785486
235,22011000027,821,102,20838.535830105462
236,22011000028,1085,725,27517.219660996303
237,22011000030,1019,135,25917.759208996606
238,2201100012A,737,24,18640.398170928744
239,2201100012B,1177,35,28665.079759809007
240,2201100013A,376,0,9468.871414279964
241,2201100014A,675,2,16800.816888240635
242,2201100016A,563,71,14273.463512084445
243,2201100016B,845,42,21466.584477601893
244,2201100017A,651,8,16516.332403009445
245,2201100018A,115,4,2922.859890824511
246,2201100019C,598,12,15121.539483611483
247,2201100025A,559,150,14220.745905030784
248,2201100025B,1050,350,26802.969392830095
249,2201100027A,877,22,22256.87276328865
250,2201100027B,965,135,24503.793472877802
251,2201100027D,467,21,11844.40748430617
252,220130001-1,455,251,17244.050346725362
253,220130001-2,1141,597,43218.45623895827
254,220130001-3,215,61,8102.65871482514
255,220130001-4,96,17,3541.2344755619974
256,220130002-1,734,669,27830.48758598698
257,220130002-2,888,627,33635.64220946604
258,220130002-3,11,1,413.87780236995275
259,220130002-4,40,15,1517.6538002566042
260,220130002-5,89,45,3373.865611019588
261,220130002-6,35,6,1325.4588401993124
262,220130003-1,562,458,20822.69597205074
263,220130003-2,413,271,15296.94764538616
264,220130003-3,266,113,9846.973835514698
265,220130003-4,106,40,3899.0475043289694
266,220130003-5,93,21,3425.9584221203368
267,220130003-6,65,18,2404.665481320016
268,220130003-7,40,30,1514.6037779686985
269,220130004-1,861,424,31245.944975056915
270,220130004-2,121,8,4444.35589010082
271,220130004-4,912,152,33043.065924624316
272,220130005-1,866,502,31295.72998985409
273,220130005-2,633,95,22475.288009088494
274,220130005-3,257,17,9399.619434103912
275,220130005-4,225,7,8266.087511952192
276,220130006-1,197,4,7113.7638879785245
277,220130006-2,424,1,14828.2358399793
278,220130006-3,731,121,26360.965268428252
279,220130006-4,397,19,14107.509218074294
280,220130007-1,273,113,10085.92501682537
281,220130007-2,369,142,13491.98951856399
282,220130007-3,319,92,11791.837391760877
283,220130007-4,718,290,25917.2961181603
284,220130007-5,429,46,15511.554143402496
285,220150001-1,1126,214,40422.37351377047
286,220150001-2,1631,288,58572.09904824879
287,220150001-3,1491,286,53435.301232708465
288,220150001-4,2308,380,82825.91440339293
289,220150001-5,966,147,34652.28918214895
290,220150002-1,2048,719,75046.5564868498
291,220150002-2,2012,194,73122.64907862649
292,220150002-3,1723,385,62707.97004338088
293,220150002-4,2082,222,75704.35510990357
294,220150002-6,1560,973,56100.30276776062
295,220150002-7,1577,355,57181.68266403412
296,220150002-8,1372,1132,49381.42283453578
297,220150002-9,2031,1080,73432.75105621171
298,220150003-1,893,416,32965.08175095001
299,220150003-2,797,226,29515.97754989799
300,220150003-3,581,69,21694.212551500834
301,220150003-4,2526,1227,93037.3643594131
302,220150004-2,2241,88,82338.62692148867
303,220150004-9,1877,196,66945.20703406633
304,22015001-3A,1961,377,70149.03066573397
305,22015001-3B,1024,195,36680.13806799231
306,22015002-10,978,183,35418.69170437387
307,22015002-11,898,358,32384.86350106906
308,22015002-13,1803,851,64764.30140754882
309,22015002-14,1229,424,44235.73881341005
310,22015002-15,2806,880,101294.98339110361
311,22015002-16,2443,916,88051.72247526037
312,22015002-19,2671,1472,96693.8438971979
313,22015002-20,1606,422,57860.86039206148
314,22015002-23,741,146,26531.86590994411
315,22015002-3A,1937,940,70453.50053934036
316,22015002-5A,538,255,19331.284383158207
317,22015004-10,2416,398,86175.47399069577
318,22015004-1A,1601,182,58969.21727350843
319,22015004-3A,2233,507,81997.41900177168
320,22015004-3B,1475,197,54101.9854419994
321,22015004-3C,452,52,16610.50520869688
322,22015004-3D,1679,142,61574.21197500564
323,22015004-4A,2472,335,90561.32509033469
324,22015004-4B,2638,240,96595.29796455844
325,22015004-5A,1234,357,44977.53310779943
326,22015004-6A,2586,286,94838.91736344252
327,22015004-6B,2752,653,100744.05494060348
328,22015004-7A,1477,117,52956.74385682741
329,22015004-7B,931,240,33568.95099728171
330,22015004-8A,2330,404,83396.2543337837
331,22015004-8B,2421,371,85914.94530038789
332,22015004-8C,3032,1216,108346.53893821017
333,22015004-8D,965,330,34657.92575424194
334,22015004-8E,867,42,30966.858214970405
335,22015004-8G,1209,151,43069.756029677694
336,2201502-11A,951,497,34325.37830464244
337,2201502-12A,702,329,25312.162023452755
338,2201502-12B,755,335,27191.86805460868
339,2201502-12C,1985,1155,71442.6479695999
340,2201502-17A,781,363,28393.459814701466
341,2201502-17B,1448,640,52590.5451796802
342,2201502-18B,1767,135,64759.513505046794
343,2201502-18C,2377,428,86725.1892236758
344,2201502-18D,772,84,28331.772858017826
345,2201502-18E,4861,654,177553.07830431405
346,2201502-18F,1587,113,58061.453910625576
347,2201502-18G,1935,270,70831.85501815617
348,2201502-21A,2475,543,90074.53855717242
349,2201502-21B,2007,198,73291.94292088746
350,2201502-21C,3347,332,122035.28052093735
351,2201502-21D,3592,690,131201.17172557168
352,2201502-22A,3055,187,111997.5012638903
353,2201502-22B,1407,37,51572.40630834627
354,2201502-22C,886,18,32479.26868705679
355,2201504-11A,1296,73,47511.150849337406
356,2201504-11B,3089,423,113002.87135961169
357,2201504-11C,1424,128,51980.54289095
358,22017000001,407,377,14570.95570471408
359,22017000002,1822,1001,63775.30854450521
360,22017000003,782,762,27255.6975826782
361,22017000004,1890,1633,65140.480821174875
362,22017000006,575,410,20560.186036209063
363,22017000007,1789,1001,63720.377253009356
364,22017000008,1852,757,66142.35634484928
365,22017000009,856,52,30434.484830191468
366,22017000010,1068,28,37826.98926140927
367,22017000011,1947,103,68862.15091386327
368,22017000012,1446,33,51019.74379824312
369,22017000013,2206,133,78147.70311416022
370,22017000014,1582,364,56055.08454637855
371,22017000015,2163,757,76846.26681325628
372,22017000016,1454,76,51358.09389592412
373,22017000017,2293,993,81566.00492737033
374,22017000020,1409,93,49901.625751503125
375,22017000021,1209,30,42691.81791320654
376,22017000022,1943,269,68318.86707347473
377,22017000023,1372,1109,47938.35607806887
378,22017000024,1369,421,48133.88770462519
379,22017000025,2763,2397,96778.71265571058
380,22017000026,1022,227,36036.25663154846
381,22017000027,1652,501,58456.796055643084
382,22017000028,294,167,10506.102223976564
383,22017000029,1114,987,39664.36425711085
384,22017000030,2027,1791,71083.256704681
385,22017000031,1176,1071,41716.86360240629
386,22017000032,1698,1332,59939.80352182614
387,22017000034,2126,1761,74614.67526667965
388,22017000035,1455,1259,50599.16685678558
389,22017000036,2102,1896,73126.81043897194
390,22017000037,1485,1266,52353.140340361315
391,22017000038,1785,1665,62240.85417181244
392,22017000039,657,626,23287.959697420516
393,22017000040,861,783,30701.112003007092
394,22017000041,689,603,24334.41935966182
395,22017000043,1395,1260,48613.722014955165
396,22017000044,1076,1015,38050.450640229225
397,22017000045,2044,1821,72208.63761954135
398,22017000046,1654,1452,58169.45445226977
399,22017000047,1694,959,59067.47817912303
400,22017000048,1004,62,35548.07617342845
401,22017000049,2816,488,99304.90913208274
402,22017000050,1115,1013,38883.86735742448
403,22017000051,1856,1623,64543.42053607997
404,22017000052,2095,1891,72779.31325249733
405,22017000053,1610,1401,56057.6098142619
406,22017000054,1683,1523,59348.2466621107
407,22017000055,1161,796,40583.93094251607
408,22017000056,2967,760,103234.37349266488
409,22017000057,1017,961,36442.86297552174
410,22017000058,1584,1404,55701.76333922192
411,22017000059,1910,1741,66301.70270399319
412,2201700005A,2613,2155,93865.20311072444
413,2201700005B,2869,2422,103165.02347946081
414,22017000060,919,881,32047.762518660784
415,22017000061,1130,1083,39206.17212549159
416,22017000062,2458,1970,82415.72749399203
417,22017000063,1098,773,36698.31321812373
418,22017000064,1248,731,44590.973386528065
419,22017000065,1659,1016,55497.93842623027
420,22017000066,2633,485,86403.24797228958
421,22017000067,750,689,26639.185803927754
422,22017000068,1410,418,49201.578520501054
423,22017000069,2104,1257,71855.54387643434
424,22017000070,2479,2185,85827.70920577648
425,22017000071,808,766,28696.5048040378
426,22017000072,1699,554,59548.79196349828
427,22017000073,1910,1831,68041.82836451886
428,22017000074,398,373,14223.849704976034
429,22017000075,1957,163,67990.29304413869
430,22017000076,1999,652,70006.12270036503
431,22017000077,2327,341,81667.29942818907
432,22017000078,1064,696,36818.959782505975
433,22017000079,1516,953,52038.35732763727
434,22017000080,1153,1093,40161.703434796436
435,22017000081,3352,2875,119825.8792095997
436,22017000082,1467,609,52988.88859916809
437,22017000083,1960,1119,68119.96147158995
438,22017000084,935,612,32291.060730699206
439,22017000085,2236,1011,75277.94816193657
440,22017000086,1993,1884,69321.60395974852
441,22017000087,2704,2023,90960.09734617655
442,22017000088,1912,799,63733.50864257401
443,22017000089,1777,750,59276.18130016564
444,22017000090,2951,1813,99526.89743564562
445,22017000091,3794,1994,127295.10768206605
446,22017000092,1649,669,55513.214070557005
447,22017000093,1965,797,66220.72749790688
448,22017000094,3020,1850,102333.71810869628
449,22017000095,2233,924,74648.39466328398
450,22017000097,793,127,27096.512166695546
451,22017000098,915,227,32463.29494004223
452,22017000099,1117,848,39959.13072584852
453,22017000100,3122,2437,105983.37149559933
454,22017000101,1743,533,60785.61496493694
455,22017000102,1350,236,47073.74580992072
456,22017000103,1885,767,63067.08973029351
457,22017000104,2882,111,99338.28849659587
458,22017000105,1311,249,42019.971330764725
459,22017000106,2566,1560,92790.4032432098
460,22017000107,1328,481,44954.877478798866
461,22017000108,843,58,29220.899374968256
462,22017000109,2168,158,73152.09652452393
463,22017000110,2062,152,69126.67253792982
464,22017000111,732,685,25886.22466722167
465,22017000112,1443,336,50528.513571587966
466,22017000113,1884,449,65834.8610347199
