,block_vtda,total,nh_black,weighted_blk_sl_dist
0,28131000101,259,7,5738.740945517342
1,28131000102,177,1,3919.0094050115918
2,28131000103,673,87,14917.791707516386
3,28131000201,1292,554,28645.429890676307
4,28131000203,1688,949,37457.19901400112
5,28131000301,1349,263,29916.12427792882
6,28131000302,762,13,16893.848099253442
7,28131000303,1015,20,22425.172176328877
8,28131000304,822,23,18216.7954413851
9,28131000401,2293,73,50965.26071198503
10,28131000402,1117,199,24751.80551357729
11,28131000403,1447,126,32060.317572211552
12,28131000501,1485,178,32858.10486076177
13,28131000502,1289,63,28561.307525643082
14,28131000503,431,49,9673.075873631356
15,28133000101,1348,635,73962.52504350553
16,28133000102,1154,1122,63020.00603353927
17,28133000103,2303,1686,121223.16413562557
18,28133000201,1525,1130,83387.05334686812
19,28133000202,3057,2970,167476.86254455772
20,28133000301,1090,894,54812.966408949
21,28133000302,1189,685,64538.1401148958
22,28133000303,2347,1434,127784.729199392
23,28133000304,1036,609,55841.33888395791
24,28133000401,1968,1792,86409.22692103498
25,28133000402,369,259,17741.479252202716
26,28133000403,631,288,31826.614354457583
27,28133000404,174,33,9187.75638020709
28,28133000501,3343,1746,147334.43811974482
29,28133000502,348,41,15646.268248461132
30,28133000503,2723,2114,122551.53318763299
31,28133000504,1366,639,60309.25049570902
32,28135000101,566,119,23045.51964648038
33,28135000102,597,148,23579.00760334284
34,28135000103,241,47,9714.766863888837
35,28135000104,1378,940,57732.613175574035
36,28135000201,1417,972,59524.776570349764
37,28135000202,147,77,6336.945885253055
38,28135000203,162,142,7035.887071624267
39,28135000204,275,61,11929.610246923645
40,28135000301,753,470,31439.299505950017
41,28135000302,702,347,29868.7370226399
42,28135000303,296,91,12881.573196891422
43,28135000304,344,66,14851.874534258808
44,28135000305,352,92,14720.742485976227
45,28135000306,231,13,9959.774364463447
46,28135000307,85,66,3648.5094005085543
47,28135000401,393,280,17024.832832492273
48,28135000402,286,174,12825.125898303953
49,28135000403,791,712,34762.07611241421
50,28135000404,286,199,12439.271478887733
51,28135000501,537,501,23357.748644414885
52,28135000502,289,207,12550.145608239907
53,28135000503,2587,1666,112166.27431714076
54,28137000101,4123,1135,146494.72360662787
55,28137000102,420,31,15618.92618300248
56,28137000103,641,26,23265.810418123216
57,28137000104,1166,119,42903.234203004584
58,28137000105,874,41,32034.77308573633
59,28137000201,2989,995,106067.36669589828
60,28137000202,2509,1319,87081.53830802786
61,28137000203,1450,365,52239.443568397925
62,28137000204,394,73,14482.896494802679
63,28137000302,1379,180,47131.59117687355
64,28137000303,666,19,21624.058926257003
65,28137000304,304,164,10804.859277105597
66,28137000305,2206,1503,78008.90920463734
67,28137000401,1969,411,69049.27429121423
68,28137000402,1507,552,51660.449270087905
69,28137000403,500,247,16186.199164796211
70,28137000502,610,128,19757.58774746719
71,28137000503,397,137,12511.266164738981
72,28137000504,3404,625,108463.94036957025
73,28137000505,556,161,18408.660268649306
74,28139000101,538,24,15303.559178808779
75,28139000102,290,12,8134.969910099486
76,28139000103,1122,167,31504.717717259493
77,28139000104,1230,25,34254.388115255955
78,28139000105,604,206,17033.34386391117
79,28139000106,391,72,10958.298034199095
80,28139000201,1347,88,38063.16975122581
81,28139000202,2690,569,75437.01138229022
82,28139000301,2015,469,56923.87287148173
83,28139000302,575,253,15954.613026961497
84,28139000303,486,27,13468.064108835728
85,28139000304,268,5,7321.412061584168
86,28139000305,845,88,23918.149235129367
87,28139000306,244,6,6918.3166292010055
88,28139000401,427,29,11610.367994672906
89,28139000402,408,0,11024.802605224977
90,28139000403,986,15,26639.359508013982
91,28139000404,621,0,16925.234338881786
92,28139000405,2321,602,64767.98983466215
93,28139000501,673,20,18277.43064334249
94,28139000503,436,24,11914.473372436083
95,28139000506,252,18,6955.612011286774
96,28139000507,513,49,14250.223295961687
97,28139000508,2533,679,70417.63021020191
98,28141000101,187,0,5234.613104974736
99,28141000103,3842,97,105511.38478158695
100,28141000201,1052,6,29399.20527563603
101,28141000202,1190,10,33270.213540302524
102,28141000204,1722,0,47539.76404942692
103,28141000301,2778,103,76060.36778868001
104,28141000302,924,22,25314.466378955945
105,28141000401,532,7,14664.655969336258
106,28141000403,2112,163,58501.5141513722
107,28141000404,467,3,13113.182391747096
108,28141000405,651,7,18326.58633239525
109,28141000501,441,5,12332.19723313963
110,28141000502,1889,4,53252.70898091898
111,28141000504,1063,6,30266.896013237703
112,28143000001,990,771,36177.59570999653
113,28143000002,441,405,16351.4524549825
114,28143000003,583,506,21841.050988781193
115,28143000004,939,866,36564.68901435376
116,28143000005,152,21,5947.632476849056
117,28143000007,966,531,37704.375530976096
118,28143000009,861,645,33629.45748667976
119,28143000010,206,142,8180.235560860391
120,28143000011,809,676,31528.28471174318
121,28143000012,723,518,28771.868403438155
122,28143000013,1946,1562,70416.63083114491
123,28143000014,1166,873,45447.54179703525
124,28145000101,719,9,20215.965069847345
125,28145000102,600,12,16934.98035232339
126,28145000103,2497,345,69616.93631399279
127,28145000105,1646,384,45554.70370578361
128,28145000201,956,17,26725.357469278464
129,28145000202,1304,26,36249.68198224812
130,28145000205,1938,409,53539.100892030205
131,28145000206,1838,202,50304.450018795826
132,28145000301,872,85,23376.278811108867
133,28145000302,1985,567,54659.30326532927
134,28145000304,1524,158,41969.27611294215
135,28145000306,1502,200,40426.92379111916
136,28145000401,1122,92,31157.324490812036
137,28145000402,1635,654,45043.053182039446
138,28145000404,770,12,20750.750074195337
139,28145000407,1894,218,52339.86473312171
140,28145000503,2583,500,71128.23539186816
141,28145000504,1008,33,27430.187558069712
142,28145000505,578,13,15642.503031863886
143,28145000508,806,14,22026.834030491187
144,28147000101,457,104,14567.757254370345
145,28147000102,753,441,22751.771493653814
146,28147000103,1067,219,34127.843312016266
147,28147000104,447,152,13458.77179511531
148,28147000201,133,19,4389.709332689255
149,28147000202,722,398,22820.010860626004
150,28147000203,111,5,3461.1498903716442
151,28147000204,1380,1123,41595.16189460652
152,28147000205,178,60,5293.624273983797
153,28147000301,734,156,20565.86941978874
154,28147000302,1180,344,34382.38426981127
155,28147000303,759,199,23217.9919257378
156,28147000304,23,1,705.0171334324771
157,28147000401,374,131,13780.389757716062
158,28147000402,246,54,8538.840564110138
159,28147000403,915,160,31796.175426483995
160,28147000404,576,49,18605.601570899882
161,28147000405,760,147,29208.79566878803
162,28147000406,279,101,8740.384981046185
163,28147000501,416,57,16142.298115093907
164,28147000502,1574,1156,57913.85819224128
165,28147000503,415,347,15494.566071682193
166,28147000504,385,283,13409.246117932858
167,28149000102,3584,986,170938.2746908941
168,28149000103,4183,1026,201060.51724609872
169,28149000104,542,58,26857.054098299795
170,28149000143,1365,134,66049.56782264364
171,28149000201,521,447,24952.881488489453
172,28149000202,1925,1081,93791.83597993554
173,28149000203,2740,2007,131260.23764921934
174,28149000204,261,56,13168.697800819573
