,block_vtda,DISTRICT
0,35001000001,23
1,35001000002,9
2,35001000003,10
3,35001000004,10
4,35001000005,10
5,35001000006,10
6,35001000007,13
7,35001000008,10
8,35001000009,10
9,35001000010,10
10,35001000011,10
11,35001000012,10
12,35001000013,10
13,35001000014,13
14,35001000015,13
15,35001000016,13
16,35001000017,13
17,35001000018,13
18,35001000019,10
19,35001000020,23
20,35001000021,23
21,35001000022,23
22,35001000023,26
23,35001000024,23
24,35001000025,23
25,35001000026,23
26,35001000027,26
27,35001000028,26
28,35001000029,26
29,35001000030,23
30,35001000031,22
31,35001000032,11
32,35001000033,26
33,35001000034,26
34,35001000035,26
35,35001000036,26
36,35001000037,26
37,35001000038,26
38,35001000039,26
39,35001000040,26
40,35001000041,11
41,35001000042,14
42,35001000043,11
43,35001000044,11
44,35001000045,11
45,35001000046,26
46,35001000047,26
47,35001000048,26
48,35001000049,11
49,35001000050,11
50,35001000051,11
51,35001000052,14
52,35001000053,11
53,35001000054,14
54,35001000055,23
55,35001000056,11
56,35001000057,23
57,35001000058,30
58,35001000059,11
59,35001000060,11
60,35001000061,26
61,35001000062,26
62,35001000063,14
63,35001000064,11
64,35001000065,11
65,35001000066,11
66,35001000067,14
67,35001000068,12
68,35001000069,12
69,35001000070,26
70,35001000071,11
71,35001000072,14
72,35001000073,14
73,35001000074,11
74,35001000075,14
75,35001000076,14
76,35001000077,14
77,35001000078,9
78,35001000079,9
79,35001000080,12
80,35001000081,23
81,35001000082,10
82,35001000083,10
83,35001000084,9
84,35001000085,10
85,35001000086,10
86,35001000087,23
87,35001000088,30
88,35001000089,9
89,35001000090,14
90,35001000091,14
91,35001000092,14
92,35001000093,30
93,35001000094,14
94,35001000095,13
95,35001000096,14
96,35001000097,14
97,35001000098,14
98,35001000099,14
99,35001000100,10
100,35001000101,16
101,35001000102,16
102,35001000103,13
103,35001000104,13
104,35001000105,13
105,35001000106,13
106,35001000107,16
107,35001000108,10
108,35001000109,14
109,35001000110,23
110,35001000111,10
111,35001000112,10
112,35001000113,10
113,35001000114,10
114,35001000115,23
115,35001000116,12
116,35001000117,23
117,35001000118,23
118,35001000119,26
119,35001000120,26
120,35001000121,10
121,35001000122,13
122,35001000123,13
123,35001000124,13
124,35001000125,13
125,35001000126,10
126,35001000127,12
127,35001000128,12
128,35001000129,23
129,35001000130,11
130,35001000131,13
131,35001000132,13
132,35001000133,13
133,35001000134,26
134,35001000135,13
135,35001000136,23
136,35001000137,11
137,35001000138,11
138,35001000139,11
139,35001000140,11
140,35001000141,14
141,35001000142,14
142,35001000143,14
143,35001000144,14
144,35001000145,14
145,35001000146,14
146,35001000147,11
147,35001000148,11
148,35001000149,11
149,35001000150,10
150,35001000151,10
151,35001000152,10
152,35001000153,10
153,35001000154,10
154,35001000155,10
155,35001000156,26
156,35001000157,26
157,35001000158,26
158,35001000159,26
159,35001000160,26
160,35001000161,13
161,35001000162,10
162,35001000163,10
163,35001000164,13
164,35001000165,13
165,35001000166,10
166,35001000167,26
167,35001000168,23
168,35001000169,26
169,35001000170,23
170,35001000171,9
171,35001000172,9
172,35001000173,9
173,35001000174,12
174,35001000175,12
175,35001000176,23
176,35001000177,12
177,35001000178,26
178,35001000179,9
179,35001000180,10
180,35001000181,10
181,35001000182,10
182,35001000183,10
183,35001000184,10
184,35001000185,13
185,35001000186,13
186,35001000187,13
187,35001000188,13
188,35001000189,26
189,35001000190,11
190,35001000191,13
191,35001000192,13
192,35001000193,13
193,35001000194,13
194,35001000195,13
195,35001000196,13
196,35001000197,13
197,35001000198,26
198,35001000199,26
199,35001000200,9
200,35001000201,10
201,35001000202,10
202,35001000203,10
203,35001000204,10
204,35001000205,10
205,35001000206,23
206,35001000207,23
207,35001000208,23
208,35001000209,23
209,35001000210,23
210,35001000211,13
211,35001000212,13
212,35001000213,14
213,35001000214,13
214,35001000215,13
215,35001000216,13
216,35001000218,13
217,35001000219,10
218,35001000220,10
219,35001000221,13
220,35001000222,10
221,35001000223,16
222,35001000224,13
223,35001000225,13
224,35001000226,13
225,35001000227,23
226,35001000228,23
227,35001000229,23
228,35001000230,12
229,35001000231,23
230,35001000232,9
231,35001000233,23
232,35001000234,26
233,35001000235,16
234,35001000236,11
235,35001000237,11
236,35001000239,11
237,35001000240,11
238,35001000241,16
239,35001000242,16
240,35001000243,16
241,35001000244,16
242,35001000245,16
243,35001000246,16
244,35001000247,14
245,35001000248,9
246,35001000249,23
247,35001000250,30
248,35001000251,16
249,35001000252,16
250,35001000253,16
251,35001000254,16
252,35001000255,16
253,35001000256,16
254,35001000258,16
255,35001000259,13
256,35001000260,14
257,35001000261,12
258,35001000262,14
259,35001000263,26
260,35001000264,23
261,35001000265,23
262,35001000266,16
263,35001000267,11
264,35001000268,14
265,35001000269,14
266,35001000270,14
