OID_,block_vtda,state,Shape_Length,Shape_Area,ID,OBJECTID,Join_Count,TARGET_FID,ID_1,DISTRICT,POPULATION,sld_u22,Shape_Length_1,Shape_Area_1
1,35001000001,35,0.113352095786311,0.000483099228000,0,1,1,1,16,23,51288,35023,1.162603632021713,0.037587798062500
2,35001000002,35,0.033214614509690,0.000048585211500,1,2,1,2,42,9,51691,35009,1.256939671302612,0.037605579850999
3,35001000003,35,0.073484387220646,0.000222669001500,2,3,1,3,2,10,48840,35010,0.711959540143913,0.007562834735000
4,35001000004,35,0.106771997441913,0.000284889234000,3,4,1,4,2,10,48840,35010,0.711959540143913,0.007562834735000
5,35001000005,35,0.113714202163357,0.000334431840500,4,5,1,5,2,10,48840,35010,0.711959540143913,0.007562834735000
6,35001000006,35,0.068030365718577,0.000176282456000,5,6,1,6,2,10,48840,35010,0.711959540143913,0.007562834735000
7,35001000007,35,0.069421695393575,0.000163899944000,6,7,1,7,5,13,48663,35013,0.549102220290302,0.005031297781999
8,35001000008,35,0.039994041127513,0.000082020187000,7,8,1,8,2,10,48840,35010,0.711959540143913,0.007562834735000
9,35001000009,35,0.066982486555726,0.000197551456000,8,9,1,9,2,10,48840,35010,0.711959540143913,0.007562834735000
10,35001000010,35,0.115455919949857,0.000692968239500,9,10,1,10,2,10,48840,35010,0.711959540143913,0.007562834735000
11,35001000011,35,0.044222905417414,0.000091898076000,10,11,1,11,2,10,48840,35010,0.711959540143913,0.007562834735000
12,35001000012,35,0.063846106362229,0.000165147752500,11,12,1,12,2,10,48840,35010,0.711959540143913,0.007562834735000
13,35001000013,35,0.050062702650935,0.000115355517500,12,13,1,13,2,10,48840,35010,0.711959540143913,0.007562834735000
14,35001000014,35,0.051363295721163,0.000153950994500,13,14,1,14,5,13,48663,35013,0.549102220290302,0.005031297781999
15,35001000015,35,0.109516383111149,0.000630573846000,14,15,1,15,5,13,48663,35013,0.549102220290302,0.005031297781999
16,35001000016,35,0.066135944345545,0.000118230110000,15,16,1,16,5,13,48663,35013,0.549102220290302,0.005031297781999
17,35001000017,35,0.046991601315840,0.000103562013000,16,17,1,17,5,13,48663,35013,0.549102220290302,0.005031297781999
18,35001000018,35,0.082941805926744,0.000205584004500,17,18,1,18,5,13,48663,35013,0.549102220290302,0.005031297781999
19,35001000019,35,0.049344577423287,0.000080867889000,18,19,1,19,2,10,48840,35010,0.711959540143913,0.007562834735000
20,35001000020,35,0.034909772699034,0.000048179682500,19,20,1,20,16,23,51288,35023,1.162603632021713,0.037587798062500
21,35001000021,35,0.037457229569122,0.000067660948500,20,21,1,21,16,23,51288,35023,1.162603632021713,0.037587798062500
