,block_vtda,total,nh_black,weighted_blk_sl_dist
0,51001000101,3326,28,87802.26286590144
1,51001000201,1511,211,39770.743602826726
2,51001000202,2887,148,75159.55399466546
3,51001000301,3560,1700,93245.02177860255
4,51001000401,1378,190,36526.53024130693
5,51001000402,1725,407,46039.252035959325
6,51001000403,408,14,10882.966823534085
7,51001000501,1790,652,47476.73341965288
8,51001000502,1906,909,51014.67453080095
9,51001000601,2967,739,80255.20222208681
10,51001000602,438,0,12338.280876528313
11,51001000701,3698,827,101348.67228202574
12,51001000801,1148,109,32189.554739146824
13,51001000802,1898,852,52112.84849561603
14,51001000803,1006,139,28091.610568240296
15,51001000901,3748,1714,105644.06403028176
16,51003000101,4029,591,38587.82832639694
17,51003000103,2391,334,22900.70959641282
18,51003000104,4123,770,39298.93801503482
19,51003000105,4409,451,42249.287869500426
20,51003000106,5506,597,51561.01843420536
21,51003000201,4968,402,47113.05732108527
22,51003000202,7909,905,76660.0756748582
23,51003000203,5610,1360,53473.23687843115
24,51003000301,4801,106,46243.711123170564
25,51003000302,4269,216,48769.823828689325
26,51003000304,1322,39,12874.062858543082
27,51003000305,3765,283,38844.528350407265
28,51003000306,2295,462,29683.55542813256
29,51003000307,933,22,10380.92213171624
30,51003000401,2402,149,30076.545086701713
31,51003000402,2187,97,23538.562649210715
32,51003000405,4131,353,42112.48095448595
33,51003000406,3918,221,39587.62741919733
34,51003000407,4988,674,50247.91575611841
35,51003000501,1923,231,20336.34451484106
36,51003000502,2007,67,19633.740754893588
37,51003000503,3492,172,33345.11932090608
38,51003000504,3557,445,34427.964454136476
39,51003000506,4718,196,44832.67314574421
40,51003000507,2816,104,27242.626699458404
41,51003000601,4707,110,46626.80111320429
42,51003000602,2012,48,17976.529624874598
43,51003000603,4042,88,36785.428251961916
44,51003000604,4053,171,43433.29162309566
45,51003000606,5112,129,51893.45053746504
46,51005005101,1607,8,17666.60979978202
47,51005005103,610,1,6490.469177874974
48,51005005201,886,34,9686.164962976152
49,51005005202,1109,43,12218.38505408496
50,51005005301,828,2,8909.806734552516
51,51005005302,1438,16,15741.253877542298
52,51005005401,1134,52,12638.24629133233
53,51005005402,1271,57,14131.891571643137
54,51005005501,532,27,6071.86565095543
55,51005005502,1538,7,17493.42063985874
56,51005005601,2214,167,24984.454677452675
57,51005005701,2056,262,23129.12320110613
58,51007000101,2535,503,53782.48219104231
59,51007000201,2751,452,57172.69968100252
60,51007000301,2669,507,65017.7933853376
61,51007000401,2487,431,54929.6653689838
62,51007000501,2823,653,72147.57298522176
63,51009000101,2179,751,33708.04421505625
64,51009000102,2860,388,38424.9533430805
65,51009000103,1279,122,17874.92708491992
66,51009000201,4441,753,58146.60280164089
67,51009000202,1635,151,19785.2220291973
68,51009000301,1794,275,26169.152217092327
69,51009000302,3737,266,53772.242287817826
70,51009000303,954,106,12744.168201680146
71,51009000401,4960,934,75817.74628542297
72,51009000402,1666,318,23751.585477437988
