plan,dist,statefips,state,black_alone,black_combo,pop,nh_white,hisp,seg_hisp,seg_nh_white,seg_nh_black,seg_black_alone,seg_black_combo
1,4,01,AL,68737,77256,719041,568236,42181,-.55311716,10.907151,-9.3980007,-9.4658089,-9.7086592
1,5,01,AL,112329,123724,717065,492742,59169,.84410977,-1.8787682,.62108648,.6435746,.73241425
1,3,01,AL,122243,131189,717965,522733,34840,-.70406502,11.158796,-10.217375,-10.261157,-10.245778
1,1,01,AL,193115,202862,719747,453480,26796,.021983609,.3228142,-.15886664,-.16237119,-.18851756
1,2,01,AL,199625,211202,715262,438815,33559,.31137103,7.7941465,-8.1535234,-8.1681595,-8.1165791
1,6,01,AL,283044,291553,720072,361145,39671,.0039812727,-2.9700139,3.4245412,3.4334824,3.4464564
1,7,01,AL,317069,326950,715127,334200,27831,-.75609249,-6.0489273,7.0899734,7.1236258,7.1566935
2,4,01,AL,68737,77256,719041,568236,42181,-.55311716,10.907151,-9.3980007,-9.4658089,-9.7086592
2,5,01,AL,112329,123724,717065,492742,59169,.84410977,-1.8787682,.62108648,.6435746,.73241425
2,3,01,AL,122243,131189,717965,522733,34840,-.70406502,11.158796,-10.217375,-10.261157,-10.245778
2,1,01,AL,193115,202862,719747,453480,26796,.021983609,.3228142,-.15886664,-.16237119,-.18851756
2,2,01,AL,199625,211202,715262,438815,33559,.31137103,7.7941465,-8.1535234,-8.1681595,-8.1165791
2,6,01,AL,283044,291553,720072,361145,39671,.0039812727,-2.9700139,3.4245412,3.4334824,3.4464564
2,7,01,AL,317069,326950,715127,334200,27831,-.75609249,-6.0489273,7.0899734,7.1236258,7.1566935
3,4,01,AL,68737,77256,719041,568236,42181,-.55311716,10.907151,-9.3980007,-9.4658089,-9.7086592
3,5,01,AL,112329,123724,717065,492742,59169,.84410977,-1.8787682,.62108648,.6435746,.73241425
3,3,01,AL,122243,131189,717965,522733,34840,-.70406502,11.158796,-10.217375,-10.261157,-10.245778
3,1,01,AL,193115,202862,719747,453480,26796,.021983609,.3228142,-.15886664,-.16237119,-.18851756
3,2,01,AL,199625,211202,715262,438815,33559,.31137103,7.7941465,-8.1535234,-8.1681595,-8.1165791
3,6,01,AL,283044,291553,720072,361145,39671,.0039812727,-2.9700139,3.4245412,3.4334824,3.4464564
3,7,01,AL,317069,326950,715127,334200,27831,-.75609249,-6.0489273,7.0899734,7.1236258,7.1566935
4,4,01,AL,68737,77256,719041,568236,42181,-.55311716,10.907151,-9.3980007,-9.4658089,-9.7086592
4,5,01,AL,112329,123724,717065,492742,59169,.84410977,-1.8787682,.62108648,.6435746,.73241425
4,3,01,AL,122243,131189,717965,522733,34840,-.70406502,11.158796,-10.217375,-10.261157,-10.245778
4,1,01,AL,193115,202862,719747,453480,26796,.021983609,.3228142,-.15886664,-.16237119,-.18851756
4,2,01,AL,199625,211202,715262,438815,33559,.31137103,7.7941465,-8.1535234,-8.1681595,-8.1165791
4,6,01,AL,283044,291553,720072,361145,39671,.0039812727,-2.9700139,3.4245412,3.4334824,3.4464564
4,7,01,AL,317069,326950,715127,334200,27831,-.75609249,-6.0489273,7.0899734,7.1236258,7.1566935
5,4,01,AL,68737,77256,719041,568236,42181,-.55311716,10.907151,-9.3980007,-9.4658089,-9.7086592
5,5,01,AL,112329,123724,717065,492742,59169,.84410977,-1.8787682,.62108648,.6435746,.73241425
5,3,01,AL,122243,131189,717965,522733,34840,-.70406502,11.158796,-10.217375,-10.261157,-10.245778
5,1,01,AL,193115,202862,719747,453480,26796,.021983609,.3228142,-.15886664,-.16237119,-.18851756
5,2,01,AL,199625,211202,715262,438815,33559,.31137103,7.7941465,-8.1535234,-8.1681595,-8.1165791
5,6,01,AL,283044,291553,720072,361145,39671,.0039812727,-2.9700139,3.4245412,3.4334824,3.4464564
5,7,01,AL,317069,326950,715127,334200,27831,-.75609249,-6.0489273,7.0899734,7.1236258,7.1566935
6,4,01,AL,68627,77128,719299,567145,43730,-.38164678,10.462993,-9.0969553,-9.1637735,-9.409936
6,5,01,AL,112387,123777,715138,491118,58940,.8360759,-1.8994238,.64850658,.67150557,.76283836
6,6,01,AL,162037,170506,720511,475453,38873,.017675236,12.430305,-12.91431,-12.960456,-13.026291
6,3,01,AL,182214,192493,718036,468090,27154,-1.1554514,4.4894471,-3.30143,-3.3068185,-3.2393467
6,1,01,AL,194623,204331,716417,449214,26948,-.038973738,.031207191,.21441679,.21387759,.19627374
6,2,01,AL,270425,281878,714668,373556,30049,.049128029,-.56798822,.67829394,.69537586,.76235741
6,7,01,AL,305849,314623,720210,346775,38353,-.15396483,-5.7121091,7.0239682,7.0383515,7.0753818
7,5,01,AL,89909,100277,717892,529986,49723,.2631236,4.3400435,-4.3103089,-4.3375278,-4.4204516
7,4,01,AL,103350,113587,716353,516017,51240,-.22430764,.69980502,-.39824703,-.39778563,-.39133611
7,3,01,AL,105907,113848,716378,535336,38065,-.061358266,14.006979,-13.459921,-13.526575,-13.646955
7,1,01,AL,193707,203471,721200,454289,26812,.017010139,.32076532,-.14830112,-.1510153,-.17729667
7,2,01,AL,204035,215769,718339,436414,32986,.29377487,7.785006,-8.3489075,-8.3558073,-8.2964544
7,6,01,AL,284588,293242,714682,357758,36202,-.33736244,-2.429409,3.1726441,3.1805997,3.2217138
7,7,01,AL,314666,324542,719435,341551,29019,-.78349423,-5.4052062,6.6731172,6.7031884,6.7577796
8,5,01,AL,89909,100277,717892,529986,49723,.2631236,4.3400435,-4.3103089,-4.3375278,-4.4204516
8,4,01,AL,103350,113587,716353,516017,51240,-.22430764,.69980502,-.39824703,-.39778563,-.39133611
8,3,01,AL,105907,113848,716378,535336,38065,-.061358266,14.006979,-13.459921,-13.526575,-13.646955
8,1,01,AL,193707,203471,721200,454289,26812,.017010139,.32076532,-.14830112,-.1510153,-.17729667
8,2,01,AL,204035,215769,718339,436414,32986,.29377487,7.785006,-8.3489075,-8.3558073,-8.2964544
8,6,01,AL,284588,293242,714682,357758,36202,-.33736244,-2.429409,3.1726441,3.1805997,3.2217138
8,7,01,AL,314666,324542,719435,341551,29019,-.78349423,-5.4052062,6.6731172,6.7031884,6.7577796
9,6,01,AL,91797,100118,714872,536108,50974,.93856251,9.348609,-9.7201567,-9.7568769,-9.7827301
9,4,01,AL,113800,121898,718587,524739,42805,-.15388763,9.1283083,-8.3142633,-8.3651848,-8.5447025
9,5,01,AL,117333,129130,718882,497971,48877,-.3705768,.54179186,-.35883754,-.36279362,-.34969074
9,1,01,AL,188626,198550,720715,456810,27197,.038650651,.3496398,-.39286968,-.39533299,-.39987534
9,3,01,AL,214859,225496,715145,432892,27133,-.9432171,4.0168014,-3.0848939,-3.0833032,-3.0080729
9,7,01,AL,285373,293917,717929,357649,36790,-.34512305,-2.5132334,3.0776832,3.0855746,3.1021254
9,2,01,AL,284374,295627,718149,365182,30271,.0045367903,-1.5349855,1.953465,1.9731063,2.0104837
10,4,01,AL,68627,77128,719299,567145,43730,-.38164678,10.462993,-9.0969553,-9.1637735,-9.409936
10,5,01,AL,112333,123730,715724,491658,59001,.8378284,-1.9006772,.65008414,.67288929,.76436037
10,6,01,AL,136910,145030,717692,498314,38519,-.17474587,12.540228,-12.827989,-12.876664,-12.936263
10,3,01,AL,192814,204093,719877,453292,31433,-.4426735,5.1426678,-4.7303476,-4.727984,-4.6517816
10,1,01,AL,194623,204331,716417,449214,26948,-.038973738,.031207191,.21441679,.21387759,.19627374
10,2,01,AL,285006,295801,715060,364953,26063,-.47474381,-1.2953697,1.9853033,1.9971178,2.0483673
10,7,01,AL,305849,314623,720210,346775,38353,-.15396483,-5.7121091,7.0239682,7.0383515,7.0753818
11,5,01,AL,69413,78759,717960,534929,61922,1.4848696,5.1048293,-6.732945,-6.7650003,-6.9545913
11,4,01,AL,86066,94276,715551,549834,40334,-.25473222,15.999843,-15.484453,-15.535242,-15.659202
11,3,01,AL,146322,157313,717947,493439,37098,-1.3500446,-1.2751679,3.0352697,3.0413551,3.1872616
11,1,01,AL,190510,200210,716052,452498,26759,.034285672,.45707545,-.31958881,-.32380876,-.34967178
11,2,01,AL,214866,226687,719664,427205,32951,.28243142,6.4472036,-6.9486852,-6.9528999,-6.8840714
11,6,01,AL,279177,287675,717935,370143,34068,-.63107634,-2.1781621,3.4707153,3.468127,3.4785159
11,7,01,AL,309808,319816,719170,343303,30915,-.3983815,-5.2166438,6.1383867,6.1611176,6.2067022
12,4,01,AL,72397,80061,718439,554159,49873,.19928966,9.9764414,-9.9935246,-10.046021,-10.291241
12,3,01,AL,118168,127462,714141,522388,34392,-1.0279473,8.7103796,-7.7312727,-7.7588296,-7.6694255
12,5,01,AL,127323,139165,717397,491110,50173,.12524484,-.54304248,1.025164,1.0220935,1.0463537
12,1,01,AL,194408,204137,719851,452313,26804,-.010922535,.12724338,.059481516,.057452336,.031382848
12,2,01,AL,206470,218261,720144,436883,33318,.28076455,8.0119343,-8.3237562,-8.3370819,-8.2774172
12,6,01,AL,280319,288801,719830,363221,40150,.071328603,-3.0856535,3.455683,3.4627893,3.4764247
12,7,01,AL,297077,306849,714477,351277,29337,-.47843164,-3.9029694,4.7188091,4.7453828,4.7623167
13,4,01,AL,87335,96343,717426,545242,44986,.071645759,10.309805,-9.576417,-9.6360788,-9.8172712
13,5,01,AL,98321,108721,719633,509695,59112,.80480748,.56764841,-1.5968823,-1.5935285,-1.6491853
13,3,01,AL,152361,162277,719692,508358,23793,-1.9681656,6.8717303,-4.369185,-4.3915825,-4.3099589
13,1,01,AL,192182,201856,714818,449954,26922,.020836107,.22048394,-.032853015,-.034609828,-.058021665
13,7,01,AL,209955,219391,714413,432631,34752,-.30784059,5.6897402,-5.0763717,-5.0944891,-5.0866451
13,2,01,AL,276278,288012,718595,361358,34766,.55542654,-1.4929508,.52835113,.55676043,.65679157
13,6,01,AL,279730,288136,719702,364113,39716,-.0075255255,-2.848695,3.301976,3.307173,3.3095925
14,4,01,AL,56299,63693,720520,571344,55520,1.2088009,11.534215,-11.882522,-11.939242,-12.217269
14,5,01,AL,117709,129553,720227,499016,48867,-.37030935,.44225454,-.2599639,-.26345301,-.24163744
14,3,01,AL,121412,130595,719478,526622,33988,-1.0703522,8.4238796,-7.092814,-7.1201444,-7.063026
14,1,01,AL,197591,207285,716942,446473,26805,-.004944142,-.37109926,.54066157,.54691017,.52143598
14,2,01,AL,201637,213435,716115,435851,34263,.43644226,7.983922,-8.6070433,-8.623579,-8.5408077
14,6,01,AL,286548,295218,714107,352510,37803,-.17736401,-3.1151185,3.6052601,3.6134362,3.6554234
14,7,01,AL,314966,324957,716890,339535,26801,-.85610354,-5.6728811,6.9681706,6.9933,7.0263786
15,4,01,AL,56299,63693,720520,571344,55520,1.2088009,11.534215,-11.882522,-11.939242,-12.217269
15,5,01,AL,117709,129553,720227,499016,48867,-.37030935,.44225454,-.2599639,-.26345301,-.24163744
15,3,01,AL,121412,130595,719478,526622,33988,-1.0703522,8.4238796,-7.092814,-7.1201444,-7.063026
15,1,01,AL,197591,207285,716942,446473,26805,-.004944142,-.37109926,.54066157,.54691017,.52143598
15,2,01,AL,201637,213435,716115,435851,34263,.43644226,7.983922,-8.6070433,-8.623579,-8.5408077
15,6,01,AL,286548,295218,714107,352510,37803,-.17736401,-3.1151185,3.6052601,3.6134362,3.6554234
15,7,01,AL,314966,324957,716890,339535,26801,-.85610354,-5.6728811,6.9681706,6.9933,7.0263786
16,4,01,AL,35167,42170,719023,585633,56921,.8559286,10.764147,-11.354536,-11.416697,-11.72085
16,5,01,AL,137297,150009,716741,480150,47537,-.2277707,-1.5181508,2.0109296,2.0235093,2.1498787
16,7,01,AL,159675,168505,718108,484871,37105,-.64536589,8.0748463,-7.3019958,-7.3265934,-7.3031454
16,1,01,AL,190298,200007,717105,453643,26769,.032773647,.53736442,-.40251958,-.40727228,-.43455687
16,2,01,AL,198920,210797,717909,440711,33042,.29352576,8.2021389,-8.807704,-8.8203707,-8.7434206
16,6,01,AL,285946,294510,719590,358636,36891,-.34252831,-2.5000043,3.0756946,3.0835047,3.0999341
16,3,01,AL,288859,298738,715803,367707,25782,-.80149359,-4.2958417,6.0170326,6.0361323,6.0570483
17,6,01,AL,77855,86234,715572,541567,56587,1.3365132,8.3544197,-9.7258081,-9.7535191,-9.7856522
17,4,01,AL,114629,122509,716174,532576,34386,-1.2660711,11.263941,-9.178566,-9.2320356,-9.4296789
17,5,01,AL,123600,135672,719276,491709,47903,-.46509898,-.11615795,.36352259,.36579272,.41286135
17,1,01,AL,186519,196410,716889,454825,27200,.053405821,.33473128,-.46683535,-.46634439,-.46837735
17,3,01,AL,191102,202726,720439,452605,33589,.28172725,7.2567763,-7.5738273,-7.5834093,-7.4929881
17,7,01,AL,286638,295295,719289,355278,39731,.046145197,-3.0443497,3.2960622,3.3024869,3.3334532
17,2,01,AL,315819,325890,716640,342791,24651,-.81879598,-4.7302723,6.4660273,6.4825864,6.4768891
18,6,01,AL,86922,95390,714425,540200,44492,-.126506,11.270184,-11.593038,-11.632567,-11.659016
18,4,01,AL,113239,121123,719389,535981,34584,-1.2785213,11.256393,-9.2470598,-9.3022041,-9.5083275
18,5,01,AL,123385,135439,714521,487870,48147,-.39446312,-.19909877,.45279384,.4565891,.51272994
18,1,01,AL,178746,188694,720353,467840,27576,.02181172,2.19346,-1.9768771,-1.9807569,-1.9939423
18,3,01,AL,197203,208757,717272,443760,33664,.30889729,6.4269781,-6.7174792,-6.7267108,-6.6392322
18,7,01,AL,277805,286377,721152,357439,51521,1.4768475,-5.8480983,5.0792975,5.0970316,5.1222539
18,2,01,AL,318862,328956,717167,338261,24063,-.84715116,-5.7585101,7.1565118,7.1778097,7.1873169
19,4,01,AL,63580,72020,718882,574643,42110,-.70963138,10.499804,-9.0093498,-9.0667877,-9.2420235
19,5,01,AL,110514,121948,720764,493967,61677,1.237443,-1.0791534,-.41101855,-.4021475,-.38967684
19,6,01,AL,143261,151531,714396,486430,42638,.53939259,12.301496,-13.167254,-13.206258,-13.244271
19,1,01,AL,185332,195169,714617,454309,27159,.048485354,.49943739,-.57481271,-.57632399,-.57975835
19,3,01,AL,186757,198147,715544,453290,32143,-.36613378,6.0555525,-5.9207549,-5.9247141,-5.842998
19,2,01,AL,295976,306583,721007,365192,24619,-.72423112,-3.7734897,5.3133698,5.3289738,5.3834915
19,7,01,AL,310742,319338,719069,343520,33701,-.85501969,-5.1145449,6.8670573,6.8793931,6.8794041
20,4,01,AL,63580,72020,718882,574643,42110,-.70963138,10.499804,-9.0093498,-9.0667877,-9.2420235
20,5,01,AL,110514,121948,720764,493967,61677,1.237443,-1.0791534,-.41101855,-.4021475,-.38967684
20,6,01,AL,143261,151531,714396,486430,42638,.53939259,12.301496,-13.167254,-13.206258,-13.244271
20,1,01,AL,185332,195169,714617,454309,27159,.048485354,.49943739,-.57481271,-.57632399,-.57975835
20,3,01,AL,186757,198147,715544,453290,32143,-.36613378,6.0555525,-5.9207549,-5.9247141,-5.842998
20,2,01,AL,295976,306583,721007,365192,24619,-.72423112,-3.7734897,5.3133698,5.3289738,5.3834915
20,7,01,AL,310742,319338,719069,343520,33701,-.85501969,-5.1145449,6.8670573,6.8793931,6.8794041
21,4,01,AL,56151,63904,715381,580238,40874,-.60633749,13.205195,-11.765218,-11.841526,-12.108761
21,5,01,AL,110508,121933,716479,490192,61334,1.2414751,-1.1407059,-.36851496,-.35887447,-.34096035
21,6,01,AL,138092,146754,716973,503261,32290,-1.5438467,8.2638655,-7.2930689,-7.309813,-7.3023438
21,1,01,AL,193656,203350,717247,450865,26936,.0096747298,.17052759,.038376991,.036551204,.011563114
21,3,01,AL,212688,223223,718331,426255,38959,.86478376,4.7959795,-5.3230119,-5.325922,-5.2564201
21,2,01,AL,258973,270334,719665,392534,27107,-.47957468,1.7105211,-1.2131591,-1.2113447,-1.1651325
21,7,01,AL,326094,335238,720203,328006,36547,-.31805801,-7.6407547,9.0541124,9.0752573,9.1570606
22,6,01,AL,95310,104159,715268,534100,43866,-.22985168,9.2767258,-9.3275375,-9.3641596,-9.3498878
22,5,01,AL,111883,123054,716536,492095,60871,1.2905861,-.4442814,-.86776286,-.85506403,-.83395064
22,4,01,AL,118421,126969,718283,523432,37954,-.93477535,8.4132023,-6.7730341,-6.8243499,-7.0131874
22,3,01,AL,182888,194385,720035,460507,33448,.26710418,8.94555,-9.2529602,-9.2670994,-9.2104082
22,1,01,AL,190784,200754,720328,454852,27371,.05110009,.19685353,-.17080472,-.16991445,-.17064886
22,7,01,AL,280854,289405,718006,365557,35616,-.43222615,-1.7639695,2.6093855,2.6142194,2.6378849
22,2,01,AL,316022,326010,715823,340808,24921,-.8450861,-5.3455772,7.0022283,7.0210466,7.0269284
23,6,01,AL,95310,104159,715268,534100,43866,-.22985168,9.2767258,-9.3275375,-9.3641596,-9.3498878
23,5,01,AL,111883,123054,716536,492095,60871,1.2905861,-.4442814,-.86776286,-.85506403,-.83395064
23,4,01,AL,118421,126969,718283,523432,37954,-.93477535,8.4132023,-6.7730341,-6.8243499,-7.0131874
23,3,01,AL,182888,194385,720035,460507,33448,.26710418,8.94555,-9.2529602,-9.2670994,-9.2104082
23,1,01,AL,190784,200754,720328,454852,27371,.05110009,.19685353,-.17080472,-.16991445,-.17064886
23,7,01,AL,280854,289405,718006,365557,35616,-.43222615,-1.7639695,2.6093855,2.6142194,2.6378849
23,2,01,AL,316022,326010,715823,340808,24921,-.8450861,-5.3455772,7.0022283,7.0210466,7.0269284
