block_vtda,total,black_alone,black_combo,state,total_18,black_alone_18,black_combo_18,hisp_18,nh_18,nh_1_18,nh_wht_1_18,nh_blk_1_18,nh_na_1_18,nh_asn_1_18,nh_haw_1_18,nh_oth_1_18,nh_multi_18
01001000001,795,285,299,61,603,215,215,8,595,583,366,214,0,0,0,3,12
01001000002,4857,656,729,56,3797,433,465,115,3682,3527,3007,433,15,65,2,5,155
01001000003,1008,67,75,63,784,54,56,10,774,759,702,54,2,0,0,1,15
01001000004,10255,2312,2449,82,7434,1569,1630,303,7131,6862,4825,1550,23,416,5,43,269
01001000005,1192,242,257,46,913,190,197,14,899,884,683,190,4,4,0,3,15
01001000006,1988,94,122,70,1509,69,75,49,1460,1399,1321,66,7,5,0,0,61
01001000007,4440,368,413,66,3305,276,286,64,3241,3153,2844,274,18,13,0,4,88
01001000008,860,343,358,40,641,255,266,13,628,608,351,254,3,0,0,0,20
01001000009,1705,347,376,28,1282,248,258,34,1248,1208,944,246,11,6,1,0,40
01001000010,4766,481,533,75,3734,358,386,104,3630,3491,3063,355,14,46,1,12,139
01001000011,602,333,340,34,506,284,290,25,481,467,177,283,4,3,0,0,14
01001000012,1969,583,614,39,1554,474,485,55,1499,1433,955,471,5,1,0,1,66
01001000013,2269,357,386,23,1655,261,281,40,1615,1539,1252,260,7,8,1,11,76
01001000014,1571,809,829,76,1291,651,663,24,1267,1224,567,646,6,5,0,0,43
01001000015,2340,470,521,47,1768,334,360,43,1725,1648,1286,334,4,14,2,8,77
01001000016,12213,2747,2925,234,9213,1995,2068,347,8866,8572,6508,1989,20,35,1,19,294
01001000017,3213,714,766,31,2483,537,555,59,2424,2341,1779,537,7,11,4,3,83
01001000018,2762,237,274,34,2051,160,170,32,2019,1944,1778,160,4,1,0,1,75
01003000001,357,59,62,32,313,50,51,2,311,295,227,50,18,0,0,0,16
01003000002,251,139,142,20,214,118,119,4,210,206,86,116,4,0,0,0,4
01003000003,558,270,280,11,456,216,219,1,455,450,228,215,3,0,1,3,5
01003000004,1175,275,297,23,965,213,224,4,961,927,695,212,14,2,0,4,34
01003000005,1632,1148,1182,28,1316,895,910,30,1286,1261,357,893,8,2,0,1,25
01003000006,2002,249,281,37,1458,199,213,45,1413,1343,1113,194,7,26,0,3,70
01003000007,11405,1067,1209,127,8256,794,850,348,7908,7614,6518,789,43,226,10,28,294
01003000008,2305,562,600,30,1939,521,542,94,1845,1772,1227,518,3,15,1,8,73
01003000009,2668,304,355,78,1986,204,219,73,1913,1830,1610,203,3,10,0,4,83
01003000010,3036,324,350,66,2467,277,288,55,2412,2368,2080,272,4,9,1,2,44
01003000011,533,12,13,14,386,4,5,3,383,371,343,4,24,0,0,0,12
01003000012,753,45,52,32,623,34,39,8,615,590,546,34,8,0,2,0,25
01003000013,1293,2,6,18,999,1,2,3,996,974,951,1,20,0,1,1,22
01003000014,1605,59,75,41,1249,49,51,17,1232,1181,1094,49,38,0,0,0,51
01003000015,9357,2039,2214,298,7311,1480,1551,137,7174,6918,5301,1469,84,51,0,13,256
01003000016,2400,372,401,33,1812,254,265,36,1776,1716,1436,254,21,3,0,2,60
01003000017,1921,211,227,16,1503,151,153,20,1483,1394,1228,150,12,3,0,1,89
01003000018,2835,59,93,62,2174,51,64,56,2118,2019,1933,51,19,10,0,6,99
01003000019,609,2,7,21,491,1,4,5,486,455,440,1,10,3,0,1,31
01003000020,13326,1286,1459,119,10041,936,1006,425,9616,9277,8164,930,39,130,2,12,339
01003000021,316,1,1,6,251,0,0,2,249,238,236,0,2,0,0,0,11
01003000022,3687,33,58,56,2843,29,40,107,2736,2569,2476,28,50,8,0,7,167
01003000023,6119,330,404,73,4335,231,256,152,4183,4013,3717,228,16,37,0,15,170
01003000024,6489,301,362,114,4801,197,228,449,4352,4169,3882,194,27,52,1,13,183
01003000025,7696,501,613,158,5754,332,383,397,5357,5101,4664,329,46,45,3,14,256
01003000026,2533,15,44,31,1975,12,18,96,1879,1792,1745,9,14,15,4,5,87
01003000027,1559,20,26,10,1249,14,16,35,1214,1146,1117,14,9,6,0,0,68
01003000028,6775,137,200,125,5831,113,129,138,5693,5498,5308,109,28,36,2,15,195
01003000029,1178,4,18,36,1010,0,9,25,985,920,900,0,6,7,2,5,65
01003000030,4915,325,393,42,3867,265,281,289,3578,3469,3165,264,21,9,2,8,109
01003000031,5891,248,353,169,4494,168,201,282,4212,4030,3821,166,19,15,4,5,182
01003000032,4914,121,180,137,3884,86,111,262,3622,3462,3323,82,30,8,3,16,160
01003000033,4244,82,133,66,3719,50,76,115,3604,3482,3363,49,11,47,3,9,122
01003000034,1153,9,18,35,963,8,13,44,919,882,856,8,8,2,0,8,37
01003000035,13338,2075,2258,183,10626,1630,1709,411,10215,9800,7981,1621,48,100,5,45,415
01003000036,7841,746,822,130,6207,547,575,349,5858,5642,5008,538,41,27,3,25,216
01003000037,4208,142,180,55,3362,77,85,285,3077,2942,2820,76,17,10,2,17,135
01003000038,7512,981,1129,137,5981,729,773,522,5459,5265,4391,722,34,88,2,28,194
01003000039,7343,111,168,129,6339,92,125,149,6190,5945,5751,90,24,40,2,38,245
01003000040,865,2,10,36,808,2,6,5,803,780,776,2,1,1,0,0,23
01003000041,8438,48,86,138,7183,35,54,137,7046,6828,6707,34,31,38,1,17,218
01003000042,10231,933,1023,275,8231,687,726,158,8073,7835,7061,671,16,63,8,16,238
01003000043,5976,159,201,100,4660,124,140,180,4480,4315,4138,122,23,25,0,7,165
01003000044,5504,101,140,68,4453,75,92,173,4280,4100,3986,75,10,13,8,8,180
01003000045,6789,211,261,75,5155,165,198,150,5005,4816,4562,161,23,48,0,22,189
01003000046,3655,132,163,36,2906,101,113,96,2810,2698,2505,101,16,69,2,5,112
01003000047,12645,1263,1470,258,10003,868,959,1095,8908,8496,7450,865,50,87,4,40,412
01003000048,8943,218,297,181,7271,171,200,306,6965,6677,6348,169,25,89,0,46,288
01003000049,10989,484,597,165,8351,337,373,422,7929,7697,7243,332,20,82,5,15,232
01005000001,862,303,313,62,693,251,254,10,683,671,414,250,4,2,0,1,12
01005000002,653,160,163,35,530,134,135,14,516,509,367,134,2,4,0,2,7
01005000003,2765,1323,1341,61,2434,1222,1236,341,2093,2071,839,1218,4,7,0,3,22
01005000004,1290,355,378,58,1048,285,297,22,1026,995,707,285,3,0,0,0,31
01005000005,12935,6099,6290,267,9723,4281,4378,470,9253,9052,4712,4237,19,58,0,26,201
01005000006,2836,1819,1851,83,2491,1560,1584,29,2462,2439,886,1550,1,2,0,0,23
01005000007,575,398,406,15,469,327,330,2,467,457,125,327,4,1,0,0,10
01005000008,351,269,271,30,290,224,226,1,289,287,63,224,0,0,0,0,2
01005000009,1055,570,588,55,871,462,472,12,859,847,381,462,3,1,0,0,12
01005000010,501,122,127,34,420,99,103,9,411,392,291,98,2,0,0,1,19
01005000011,601,349,356,42,510,303,305,9,501,497,188,303,1,2,0,3,4
0100500008A,272,107,112,25,215,83,85,5,210,207,118,83,5,1,0,0,3
0100500010A,527,59,65,61,440,47,51,10,430,420,365,47,1,7,0,0,10
01007000001,4049,103,154,104,3004,74,88,93,2911,2852,2765,74,6,2,3,2,59
01007000003,2952,961,980,76,2627,921,925,32,2595,2556,1632,918,4,0,0,2,39
01007000004,2354,1403,1424,54,1839,1108,1115,38,1801,1770,663,1107,0,0,0,0,31
01007000005,2288,340,358,89,1762,244,256,41,1721,1684,1430,241,8,0,2,3,37
01007000007,892,74,77,57,696,60,63,12,684,667,606,60,0,0,0,1,17
01007000009,3294,846,890,84,2571,609,626,81,2490,2446,1828,604,3,7,0,4,44
01007000020,4228,433,478,157,3257,350,376,102,3155,3058,2691,347,6,8,3,3,97
01007000060,2236,253,282,76,1777,198,220,64,1713,1657,1440,198,10,1,1,7,56
01009000001,4166,39,63,71,3187,31,43,27,3160,3031,2975,31,16,3,0,6,129
01009000002,2364,9,24,111,1866,8,15,35,1831,1770,1753,8,3,2,1,3,61
01009000003,610,19,28,16,496,16,18,7,489,461,443,16,2,0,0,0,28
01009000004,5809,100,141,184,4358,80,105,38,4320,4137,4031,80,18,0,1,7,183
01009000005,973,11,15,18,768,11,11,15,753,712,689,11,7,0,0,5,41
01009000006,2424,12,25,67,1829,9,11,80,1749,1655,1630,9,7,1,0,8,94
01009000007,4222,25,53,115,3151,19,31,367,2784,2691,2631,19,16,20,0,5,93
01009000008,1323,4,8,62,998,4,5,52,946,896,884,4,6,2,0,0,50
01009000009,885,4,14,37,700,3,5,22,678,656,647,3,1,1,1,3,22
01009000010,1075,1,9,58,836,1,5,42,794,755,749,1,2,2,0,1,39
01009000011,2881,13,20,121,2236,10,15,213,2023,1972,1943,10,12,4,1,2,51
01009000012,2071,12,24,92,1576,5,9,240,1336,1297,1282,5,9,0,0,1,39
01009000013,2059,20,47,71,1492,11,16,380,1112,1084,1069,10,4,1,0,0,28
01009000014,3625,19,32,128,2825,18,25,239,2586,2511,2491,16,2,2,0,0,75
01009000015,776,4,7,12,605,3,3,6,599,584,577,3,1,2,0,1,15
01009000016,2774,20,42,82,2148,14,24,284,1864,1816,1776,14,7,15,0,4,48
01009000017,3166,26,39,102,2527,16,23,68,2459,2346,2312,16,6,5,1,6,113
01009000018,3299,22,34,73,2573,20,24,138,2435,2328,2291,20,9,5,1,2,107
01009000019,2314,30,42,58,1751,19,24,68,1683,1601,1568,19,2,8,1,3,82
01009000020,873,12,19,20,675,8,8,20,655,643,634,8,1,0,0,0,12
01009000021,1444,15,31,53,1055,4,10,221,834,801,786,4,5,5,1,0,33
01009000022,6797,414,507,156,5313,327,355,761,4552,4407,4020,325,8,39,1,14,145
01009000023,1925,12,18,74,1440,8,9,160,1280,1229,1207,8,9,2,0,3,51
01009000024,1279,2,8,60,998,2,3,51,947,896,890,2,0,2,2,0,51
01011000003,6361,4712,4775,166,5118,3755,3799,257,4861,4802,1039,3753,0,3,1,6,59
01011000005,202,143,146,18,169,123,124,0,169,167,42,123,0,1,1,0,2
01011000007,184,80,82,14,160,69,70,4,156,155,85,69,0,0,0,1,1
01011000009,497,320,325,28,427,273,276,0,427,422,149,273,0,0,0,0,5
01011000010,461,162,164,19,370,125,126,2,368,364,236,125,0,0,0,3,4
010110001-1,837,789,796,37,646,602,608,1,645,639,36,601,0,0,0,2,6
010110001-2,190,161,163,10,150,130,132,0,150,148,18,130,0,0,0,0,2
010110002-1,141,129,129,12,112,104,104,3,109,109,8,101,0,0,0,0,0
010110002-2,178,148,151,7,143,117,120,1,142,139,20,117,1,1,0,0,3
010110004-1,357,247,253,18,302,210,210,1,301,300,89,210,0,0,0,1,1
010110004-2,207,174,174,5,143,120,120,3,140,136,16,119,0,0,0,1,4
010110006-1,192,80,81,23,160,63,64,1,159,157,92,63,0,0,0,2,2
010110006-2,92,12,13,9,87,12,13,0,87,83,70,12,0,0,0,1,4
010110008-1,298,107,108,24,241,85,86,0,241,239,151,85,0,0,1,2,2
010110008-2,160,132,132,9,128,104,104,0,128,128,24,104,0,0,0,0,0
01013000001,837,206,215,41,707,186,193,4,703,691,502,186,2,0,0,1,12
01013000002,299,33,39,29,235,22,27,0,235,224,201,22,0,1,0,0,11
01013000005,289,44,46,24,233,31,31,2,231,227,192,31,3,1,0,0,4
01013000006,477,131,135,35,370,110,110,2,368,355,242,110,0,2,1,0,13
01013000007,484,50,55,22,399,37,37,3,396,395,354,37,0,4,0,0,1
01013000008,489,195,203,24,359,127,134,5,354,346,211,127,1,5,0,2,8
01013000009,455,234,243,17,354,173,179,0,354,347,174,173,0,0,0,0,7
01013000010,143,80,83,8,97,55,58,1,96,93,38,55,0,0,0,0,3
01013000011,278,69,72,14,233,61,63,5,228,226,164,61,1,0,0,0,2
01013000013,495,112,125,39,419,100,108,4,415,403,302,100,1,0,0,0,12
01013000015,244,10,12,17,214,8,10,3,211,207,198,8,1,0,0,0,4
01013000016,574,91,96,22,454,71,72,3,451,445,373,71,0,0,0,1,6
01013000017,236,59,59,22,197,54,54,4,193,188,127,54,1,5,0,1,5
01013000018,971,286,301,42,782,218,226,5,777,760,542,218,0,0,0,0,17
01013000019,870,162,184,45,645,118,128,3,642,625,506,117,0,1,1,0,17
01013000020,238,54,56,16,181,41,43,1,180,172,130,41,0,1,0,0,8
010130012.2,2871,1564,1605,103,2277,1222,1249,36,2241,2194,921,1216,1,55,0,1,47
010130012.3,3443,1733,1780,75,2637,1242,1258,59,2578,2540,1263,1236,6,31,2,2,38
010130014.1,297,25,31,21,240,20,22,2,238,233,210,20,0,1,0,2,5
010130014.5,1843,1143,1179,116,1458,871,888,12,1446,1419,548,865,3,0,0,3,27
01013012.4A,981,438,445,28,780,346,348,7,773,767,422,344,1,0,0,0,6
01013012.4B,2237,1711,1778,66,1632,1213,1260,17,1615,1557,333,1207,2,8,1,6,58
01015000001,15277,5210,5482,309,12961,4600,4725,364,12597,12171,7182,4572,30,328,16,43,426
01015000002,4874,408,456,95,3769,312,327,34,3735,3628,3281,308,11,17,9,2,107
01015000003,1182,88,103,36,899,62,68,16,883,855,769,62,13,10,0,1,28
01015000004,15136,1462,1683,372,11730,1082,1174,685,11045,10660,9467,1076,45,51,3,18,385
01015000005,6576,766,882,151,5101,566,602,152,4949,4751,4090,554,31,51,20,5,198
01015000006,1863,29,37,30,1470,20,23,15,1455,1432,1391,20,12,7,1,1,23
01015000007,2103,16,28,54,1696,11,17,12,1684,1637,1610,11,6,9,0,1,47
01015000008,2476,46,85,90,1961,32,53,16,1945,1869,1818,32,12,2,0,5,76
01015000009,5408,526,634,323,4214,412,445,92,4122,3975,3521,412,16,14,3,9,147
01015000010,1201,29,37,59,945,22,22,28,917,897,865,22,5,1,3,1,20
01015000011,1892,39,54,61,1459,29,33,19,1440,1389,1347,29,11,2,0,0,51
01015000012,4634,340,367,82,3481,256,267,172,3309,3186,2883,256,11,33,1,2,123
01015000013,3773,886,971,92,2863,589,617,255,2608,2493,1805,588,1,86,2,11,115
01015000014,1268,12,15,46,1001,9,11,6,995,977,962,9,4,2,0,0,18
01015000015,18027,10232,10635,803,14186,7733,7940,475,13711,13313,5442,7697,47,79,8,40,398
01015000016,913,33,42,44,728,18,23,13,715,698,672,18,5,0,0,3,17
01015000017,3396,117,154,139,2690,107,118,40,2650,2549,2430,107,7,2,1,2,101
01015000018,1750,65,78,60,1331,38,42,18,1313,1272,1225,38,3,4,0,2,41
01015000019,8980,1940,2143,212,7043,1403,1474,228,6815,6530,5042,1393,23,62,2,8,285
01015000020,3331,495,538,82,2595,364,384,136,2459,2364,1947,360,5,48,2,2,95
01015000021,1793,106,132,42,1388,93,96,19,1369,1339,1224,93,9,12,0,1,30
01015000022,10588,2714,2889,264,8778,2107,2202,434,8344,8132,5822,2091,26,165,12,16,212
01017000001,613,35,46,29,538,29,34,11,527,510,477,28,2,3,0,0,17
01017000002,312,94,101,30,267,82,87,2,265,258,175,82,0,1,0,0,7
01017000003,339,111,111,28,288,91,91,3,285,284,189,91,0,4,0,0,1
01017000004,291,37,42,25,254,34,37,2,252,247,212,34,1,0,0,0,5
01017000005,363,193,198,29,314,174,179,1,313,307,133,174,0,0,0,0,6
01017000006,650,80,86,25,554,71,74,3,551,532,454,71,6,1,0,0,19
01017000007,6376,3753,3865,241,4940,2849,2917,315,4625,4523,1661,2827,8,16,4,7,102
01017000008,3229,2084,2126,99,2652,1671,1697,71,2581,2548,873,1661,10,4,0,0,33
01017000009,712,284,287,44,584,240,242,4,580,575,332,239,1,3,0,0,5
01017000010,1078,530,538,63,893,438,444,19,874,852,402,438,9,1,0,2,22
01017000012,862,292,303,45,679,218,223,16,663,643,422,214,3,4,0,0,20
01017000013,4642,1355,1414,93,3660,1005,1027,75,3585,3512,2479,996,13,19,0,5,73
01017000014,13033,4076,4285,359,10253,3133,3206,274,9979,9746,6293,3125,8,276,4,40,233
010170001-A,484,175,178,31,408,144,146,9,399,394,250,143,1,0,0,0,5
010170003-A,106,11,12,8,89,11,12,2,87,87,76,11,0,0,0,0,0
010170005-A,506,213,218,29,434,189,189,2,432,430,241,189,0,0,0,0,2
010170005-B,330,37,39,24,278,29,29,3,275,270,238,29,1,1,0,1,5
010170007-A,566,96,103,12,462,78,82,7,455,451,366,78,0,7,0,0,4
010170010-A,280,56,57,28,244,54,55,4,240,238,183,54,0,1,0,0,2
01019000001,752,1,6,38,611,1,3,4,607,592,582,1,2,4,0,3,15
01019000002,693,1,1,41,555,1,1,3,552,544,540,1,3,0,0,0,8
01019000003,376,2,2,16,305,2,2,0,305,296,292,2,0,2,0,0,9
01019000004,716,4,10,36,580,4,8,3,577,555,549,4,0,1,0,1,22
