geoid,block_vtda,total
350010001071000,35001000564,343
350010001071001,35001000564,17
350010001071002,35001000564,46
350010001071003,35001000564,36
350010001071004,35001000564,35
350010001071005,35001000565,632
350010001071006,35001000565,61
350010001071007,35001000565,34
350010001071008,35001000565,75
350010001071009,35001000565,41
350010001071010,35001000565,47
350010001071011,35001000565,106
350010001071012,35001000565,83
350010001071013,35001000565,25
350010001071014,35001000565,36
350010001071015,35001000564,33
350010001071016,35001000564,28
350010001071017,35001000564,49
350010001071018,35001000564,0
350010001071019,35001000564,0
350010001071020,35001000307,0
350010001072000,35001000526,56
350010001072001,35001000526,445
350010001072002,35001000526,8
350010001072003,35001000526,0
350010001072004,35001000526,50
350010001072005,35001000526,7
350010001072006,35001000526,47
350010001072007,35001000526,23
350010001072008,35001000526,47
350010001072009,35001000526,18
350010001072010,35001000526,29
350010001072011,35001000526,26
350010001072012,35001000526,72
350010001072013,35001000526,28
350010001072014,35001000526,44
350010001072015,35001000526,66
350010001081000,35001000565,0
350010001081001,35001000480,130
350010001081002,35001000480,32
350010001081003,35001000480,55
350010001081004,35001000521,58
350010001081005,35001000521,73
350010001081006,35001000521,199
350010001081007,35001000521,84
350010001081008,35001000521,121
350010001081009,35001000565,0
350010001081010,35001000480,163
350010001081011,35001000480,89
350010001081012,35001000480,27
350010001081013,35001000521,40
350010001081014,35001000521,50
350010001082000,35001000480,580
350010001082001,35001000480,44
350010001082002,35001000480,160
350010001082003,35001000521,188
350010001082004,35001000521,36
350010001082005,35001000521,38
350010001082006,35001000521,39
350010001082007,35001000521,61
350010001082008,35001000521,378
350010001082009,35001000521,20
350010001082010,35001000521,20
350010001091000,35001000528,39
350010001091001,35001000528,204
350010001091002,35001000528,66
350010001091003,35001000528,48
350010001091004,35001000528,68
350010001091005,35001000515,58
350010001091006,35001000515,224
350010001091007,35001000515,72
350010001091008,35001000515,55
350010001091009,35001000515,0
350010001091010,35001000515,50
350010001091011,35001000515,27
350010001091012,35001000515,39
350010001091013,35001000515,65
350010001091014,35001000515,74
350010001091015,35001000515,40
350010001092000,35001000514,200
350010001092001,35001000514,29
350010001092002,35001000514,83
350010001092003,35001000514,63
350010001092004,35001000514,28
350010001092005,35001000514,128
350010001092006,35001000514,88
350010001092007,35001000514,306
350010001092008,35001000514,22
350010001092009,35001000514,38
350010001092010,35001000514,72
350010001092011,35001000514,40
350010001092012,35001000514,41
350010001092013,35001000514,35
350010001092014,35001000514,55
350010001092015,35001000514,44
350010001101000,35001000389,307
350010001101001,35001000516,140
350010001101002,35001000516,126
350010001101003,35001000389,269
350010001101004,35001000389,49
350010001101005,35001000389,435
350010001101006,35001000516,46
350010001101007,35001000516,58
350010001101008,35001000516,75
350010001101009,35001000516,45
350010001102000,35001000516,29
350010001102001,35001000516,39
350010001102002,35001000506,41
350010001102003,35001000506,130
350010001102004,35001000507,86
350010001102005,35001000507,93
350010001102006,35001000507,80
350010001102007,35001000506,34
350010001102008,35001000516,101
350010001102009,35001000516,79
350010001102010,35001000506,64
350010001102011,35001000506,42
350010001102012,35001000516,83
350010001102013,35001000516,92
350010001102014,35001000507,113
350010001102015,35001000507,111
350010001102016,35001000507,72
350010001103000,35001000506,118
350010001103001,35001000506,112
350010001103002,35001000506,93
350010001103003,35001000506,88
